SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37464,2023-09,525,부안마실축제,부안마실축제,250,문화축제
37465,2023-09,37,부여서동연꽃축제,부여서동연꽃축제,410,문화축제
37466,2023-09,450,부천국제만화축제,부천국제만화축제,19830,문화축제
37467,2023-09,906,부천국제애니메이션페스티벌,부천국제애니메이션페스티벌,2260,문화축제
37468,2023-09,901,부천국제판타스틱영화제,부천국제판타스틱영화제,720,문화축제
37469,2023-09,904,부천세계비보이대회,부천세계비보이대회,30,문화축제
37470,2023-09,902,부천전국비보이대회,부천전국비보이대회,16,문화축제
37471,2023-09,142,분당구민 한마음 축제,분당구민한마음축제,16,문화축제
37472,2023-09,641,불갑산상사화축제,불갑산상사화축제,2820,문화축제
37473,2023-09,161,불볼락 축제,불볼락축제,120,문화축제
37474,2023-09,75,블랙뮤직페스티벌,블랙뮤직페스티벌,1980,문화축제
37475,2023-09,46,사량도 옥녀봉 축제,사량도옥녀봉축제,26,문화축제
37476,2023-09,108,사선문화제,사선문화제,1630,문화축제
37477,2023-09,28,산소축제,산소축제,80,문화축제
37478,2023-09,674,산지천 축제,산지천축제,3710,문화축제
37479,2023-09,271,산청 경호강 물 페스티벌,산청경호강물페스티벌,10,문화축제
37480,2023-09,272,산청황매산철쭉제,산청황매산철쭉제,14,문화축제
37481,2023-09,110,산타축제,산타축제,20,문화축제
37482,2023-09,181,삼길포우럭축제,삼길포우럭축제,1680,문화축제
37483,2023-09,393,삼척동해왕이사부독도축제,삼척동해왕이사부독도축제,30,문화축제
37484,2023-09,389,삼척맹방유채꽃축제,삼척맹방유채꽃축제,37,문화축제
37485,2023-09,391,삼척장미축제,삼척장미축제,120,문화축제
37486,2023-09,394,삼척평생학습박람회,삼척평생학습박람회,18,문화축제
37487,2023-09,390,삼척황영조국제마라톤대회,삼척황영조국제마라톤대회,15,문화축제
37488,2023-09,559,삽교호조개구이 축제,삽교호조개구이축제,630,문화축제
37489,2023-09,8,상주 이야기축제,상주이야기축제,40,문화축제
37490,2023-09,634,상패남산축제,상패남산축제,30,문화축제
37491,2023-09,596,생거진천 문화축제,생거진천문화축제,9320,문화축제
37492,2023-09,888,서귀포 3분 관광영화제,서귀포3분관광영화제,80,문화축제
37493,2023-09,838,서귀포겨울바다 국제펭귄수영대회,서귀포겨울바다국제펭귄수영대회,17,문화축제
37494,2023-09,883,서귀포칠십리축제,서귀포칠십리축제,1530,문화축제
37495,2023-09,388,서리풀페스티벌,서리풀페스티벌,100000,문화축제
37496,2023-09,898,서면메디컬스트리트 축제,서면메디컬스트리트축제,40,문화축제
37497,2023-09,180,서산6쪽마늘축제,서산6쪽마늘축제,20,문화축제
37498,2023-09,185,서산국화축제,서산국화축제,4830,문화축제
37499,2023-09,649,서산시국화축제,서산시국화축제,20,문화축제
37500,2023-09,183,서산어리굴젓축제,서산어리굴젓축제,29,문화축제
37501,2023-09,648,서산해미읍성역사체험축제,서산해미읍성역사체험축제,20,문화축제
37502,2023-09,184,서산해미읍성축제,서산해미읍성축제,10520,문화축제
37503,2023-09,676,서울약령시 한방문화축제,서울약령시한방문화축제,60,문화축제
37504,2023-09,125,서울장미축제,서울장미축제,610,문화축제
37505,2023-09,618,서창만드리풍년제,서창만드리풍년제,50,문화축제
37506,2023-09,520,서편제보성소리축제,서편제보성소리축제,30,문화축제
37507,2023-09,113,석촌호수벚꽃축제,석촌호수벚꽃축제,260,문화축제
37508,2023-09,677,선농대제,선농대제,14,문화축제
37509,2023-09,794,선사문화축제,선사문화축제,2950,문화축제
37510,2023-09,405,설봉산별빛축제,설봉산별빛축제,40,문화축제
37511,2023-09,782,설성문화제,설성문화제,830,문화축제
37512,2023-09,1111,설화예술제,설화예술제,100,문화축제
37513,2023-09,1024,섬강축제,섬강축제,70,문화축제
37514,2023-09,1052,성류문화제,성류문화제,90,문화축제
37515,2023-09,837,성산일출축제,성산일출축제,50,문화축제
37516,2023-09,727,세계 민속춤 축제,세계민속춤축제,1540,문화축제
37517,2023-09,678,세계거리춤축제,세계거리춤축제,1540,문화축제
37518,2023-09,624,세계청년축제,세계청년축제,15,문화축제
37519,2023-09,652,세종 조치원 복숭아  축제,세종조치원복숭아축제,160,문화축제
37520,2023-09,24,세종대왕과 초정약수 축제,세종대왕과초정약수축제,1780,문화축제
37521,2023-09,651,세종축제,세종축제,30070,문화축제
37522,2023-09,752,소래포구축제,소래포구축제,190600,문화축제
37523,2023-09,1141,소양강문화제,소양강문화제,5280,문화축제
37524,2023-09,882,쇠소깍축제,쇠소깍축제,3520,문화축제
37525,2023-09,153,수선화축제,수선화축제,200,문화축제
37526,2023-09,716,수성 건강 축제,수성건강축제,40,문화축제
37527,2023-09,715,수성못 페스티벌,수성못페스티벌,59020,문화축제
37528,2023-09,451,수원화성문화제,수원화성문화제,14290,문화축제
37529,2023-09,144,수정숯골축제,수정숯골축제,15,문화축제
